word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
dip,D IH P,3,0,0.0,2.60959440922522
diplomat,D IH P L AH M AE T,8,0,0.0,2.041392685158225
dipper,D IH P ER,4,0,0.0,1.5314789170422551
direction,D ER EH K SH AH N,7,1,0.14285714285714285,3.089551882886454
director,D ER EH K T ER,6,0,0.0,3.263636068588108
directory,D ER EH K T ER IY,7,0,0.0,1.9294189257142926
dirt,D ER T,3,0,0.0,3.117602691690084
discerning,D IH S ER N IH NG,7,1,0.14285714285714285,1.4913616938342726
disciple,D IH S AY P AH L,7,1,0.14285714285714285,1.724275869600789
disclosure,D IH S K L OW ZH ER,8,2,0.25,1.7160033436347992
discreet,D IH S K R IY T,7,1,0.14285714285714285,2.3180633349627615
discretion,D IH S K R EH SH AH N,9,2,0.2222222222222222,2.27415784926368
disguise,D IH S G AY Z,6,2,0.3333333333333333,2.6009728956867484
dishwasher,D IH SH W AA SH ER,7,2,0.2857142857142857,2.0170333392987803
disinfect,D IH S IH N F EH K T,9,1,0.1111111111111111,1.3222192947339193
disinfectant,D IH S IH N F EH K T AH N T,12,1,0.08333333333333333,1.6127838567197355
disk,D IH S K,4,1,0.25,2.530199698203082
dismantle,D IH S M AE N T AH L,9,1,0.1111111111111111,1.6720978579357175
dismiss,D IH S M IH S,6,2,0.3333333333333333,2.4471580313422194
dispatch,D IH S P AE CH,6,2,0.3333333333333333,2.545307116465824
dispatcher,D IH S P AE CH ER,7,2,0.2857142857142857,1.8808135922807914
dispensary,D IH S P EH N S ER IY,9,2,0.2222222222222222,1.3424226808222062
dispense,D IH S P EH N S,7,2,0.2857142857142857,1.845098040014257
dispenser,D IH S P EH N S ER,8,2,0.25,1.724275869600789
dispersal,D IH S P ER S AH L,8,2,0.25,1.380211241711606
disposition,D IH S P AH Z IH SH AH N,10,3,0.3,2.0453229787866576
disregard,D IH S R IH G AA R D,9,1,0.1111111111111111,2.255272505103306
dissent,D IH S EH N T,6,1,0.16666666666666666,1.4913616938342726
dissolve,D IH Z AA L V,6,1,0.16666666666666666,1.9822712330395684
distant,D IH S T AH N T,7,1,0.14285714285714285,2.6434526764861874
distilled,D IH S T IH L D,7,1,0.14285714285714285,1.5185139398778875
distinction,D IH S T IH NG K SH AH N,10,2,0.2,2.1789769472931693
distinguish,D IH S T IH NG G W IH SH,10,2,0.2,1.9637878273455553
distribute,D IH S T R IH B Y UW T,10,1,0.1,1.8864907251724818
distribution,D IH S T R AH B Y UW SH AH N,12,2,0.16666666666666666,2.1986570869544226
distributor,D IH S T R IH B Y AH T ER,11,1,0.09090909090909091,1.8976270912904414
district,D IH S T R IH K T,8,1,0.125,3.028977705208778
ditto,D IH T OW,4,0,0.0,1.9344984512435677
ditty,D IH T IY,4,0,0.0,1.6127838567197355
diversion,D AY V ER ZH AH N,7,1,0.14285714285714285,2.2013971243204513
divvy,D IH V IY,4,0,0.0,1.3617278360175928
do,D UW,2,0,0.0,5.495427770030363
doc,D AA K,3,0,0.0,3.6152133348013584
dock,D AA K,3,0,0.0,2.6972293427597176
docket,D AA K AH T,5,0,0.0,1.792391689498254
docking,D AA K IH NG,5,0,0.0,2.037426497940624
doctrine,D AA K T R AH N,7,0,0.0,1.6434526764861874
document,D AA K Y AH M EH N T,9,0,0.0,2.7126497016272113
documentation,D AA K Y AH M EH N T EY SH AH N,13,1,0.07692307692307693,1.845098040014257
documents,D AA K Y AH M AH N T S,10,1,0.1,2.680335513414563
dodger,D AA JH ER,4,1,0.25,1.8195439355418688
doghouse,D AO G HH AW S,6,1,0.16666666666666666,1.7634279935629373
dole,D OW L,3,0,0.0,1.6989700043360187
domain,D OW M EY N,5,0,0.0,2.123851640967086
domestic,D AH M EH S T IH K,8,1,0.125,2.546542663478131
domino,D AA M AH N OW,6,0,0.0,2.3138672203691533
door,D AO R,3,0,0.0,4.173069663637268
doorbell,D AO R B EH L,6,0,0.0,2.629409599102719
doorknob,D UW R N AA B,6,0,0.0,1.9395192526186185
doorman,D AO R M AE N,6,0,0.0,2.2121876044039577
doornail,D AO R N EY L,6,0,0.0,1.568201724066995
doorstep,D AO R S T EH P,7,1,0.14285714285714285,2.2380461031287955
dorm,D AO R M,4,0,0.0,2.568201724066995
dormant,D AO R M AH N T,7,0,0.0,1.7781512503836436
dorsal,D AO R S AH L,6,1,0.16666666666666666,1.4471580313422192
dosage,D OW S AH JH,5,2,0.4,2.012837224705172
dose,D OW S,3,1,0.3333333333333333,2.432969290874406
dossier,D AO S Y EY,5,1,0.2,1.7558748556724915
dot,D AA T,3,0,0.0,2.530199698203082
dotted,D AA T AH D,5,0,0.0,1.7160033436347992
dotty,D AA T IY,4,0,0.0,1.7634279935629373
doughboy,D OW B OY,4,0,0.0,1.6127838567197355
dowry,D AW R IY,4,0,0.0,1.8808135922807914
draft,D R AE F T,5,0,0.0,2.5705429398818973
drake,D R EY K,4,0,0.0,2.484299839346786
drape,D R EY P,4,0,0.0,1.7323937598229686
drawbridge,D R AO B R IH JH,7,1,0.14285714285714285,1.4471580313422192
drawer,D R AO R,4,0,0.0,2.8221680793680175
dresser,D R EH S ER,5,1,0.2,2.2624510897304293
dribble,D R IH B AH L,6,0,0.0,1.8388490907372552
drift,D R IH F T,5,0,0.0,2.515873843711679
drifter,D R IH F T ER,6,0,0.0,1.7403626894942439
driveway,D R AY V W EY,6,0,0.0,2.53655844257153
drizzle,D R IH Z AH L,6,1,0.16666666666666666,1.3617278360175928
droll,D R OW L,4,0,0.0,1.414973347970818
dropper,D R AA P ER,5,0,0.0,1.3222192947339193
drugstore,D R AH G S T AO R,8,1,0.125,2.342422680822206
dry,D R AY,3,0,0.0,3.3394514413064407
dryer,D R AY ER,4,0,0.0,2.3654879848909
dual,D UW AH L,4,0,0.0,1.7634279935629373
due,D UW,2,0,0.0,3.3571722577230334
duffel,D AH F AH L,5,0,0.0,1.8864907251724818
dugout,D AH G AW T,5,0,0.0,1.6720978579357175
duh,D AH,2,0,0.0,2.3096301674258988
duke,D UW K,3,0,0.0,3.1065308538223815
dumbbell,D AH M B EH L,6,0,0.0,1.414973347970818
dune,D UW N,3,0,0.0,1.7160033436347992
dunk,D AH NG K,4,0,0.0,2.123851640967086
duration,D UH R EY SH AH N,7,1,0.14285714285714285,1.9138138523837167
duster,D AH S T ER,5,1,0.2,1.3222192947339193
duty,D UW T IY,4,0,0.0,3.4149733479708178
dwarf,D W AO R F,5,0,0.0,2.1986570869544226
